"REF_DATE","GEO","National Occupational Classification","Job vacancy characteristics","Statistics","VALUE"
"2021-07","Quebec","Total, all occupations","Full-time","Job vacancies","186600"
"2021-07","Quebec","Total, all occupations","Part-time","Job vacancies","51450"
"2021-07","Ontario","Total, all occupations","Full-time","Job vacancies","238205"
"2021-07","Ontario","Total, all occupations","Part-time","Job vacancies","100630"
"2021-07","Manitoba","Total, all occupations","Full-time","Job vacancies","16725"
"2021-07","Manitoba","Total, all occupations","Part-time","Job vacancies","7600"
"2021-07","Saskatchewan","Total, all occupations","Full-time","Job vacancies","14690"
"2021-07","Saskatchewan","Total, all occupations","Part-time","Job vacancies","5635"
"2021-07","Alberta","Total, all occupations","Full-time","Job vacancies","65510"
"2021-07","Alberta","Total, all occupations","Part-time","Job vacancies","20875"
"2021-07","British Columbia","Total, all occupations","Full-time","Job vacancies","116480"
"2021-07","British Columbia","Total, all occupations","Part-time","Job vacancies","41095"
"2021-07","Yukon","Total, all occupations","Full-time","Job vacancies","1075"
"2021-07","Yukon","Total, all occupations","Part-time","Job vacancies","225"
"2021-07","Northwest Territories","Total, all occupations","Full-time","Job vacancies","1005"
"2021-07","Northwest Territories","Total, all occupations","Part-time","Job vacancies","405"
"2021-07","Nunavut","Total, all occupations","Full-time","Job vacancies","410"
"2021-07","Nunavut","Total, all occupations","Part-time","Job vacancies","70"
"2021-10","Canada","Total, all occupations","Full-time","Job vacancies","662355"
"2021-10","Canada","Total, all occupations","Part-time","Job vacancies","253190"
"2021-10","Newfoundland and Labrador","Total, all occupations","Full-time","Job vacancies","5265"
"2021-10","Newfoundland and Labrador","Total, all occupations","Part-time","Job vacancies","2075"
"2021-10","Prince Edward Island","Total, all occupations","Full-time","Job vacancies","2715"
"2021-10","Prince Edward Island","Total, all occupations","Part-time","Job vacancies","755"
"2021-10","Nova Scotia","Total, all occupations","Full-time","Job vacancies","14130"
"2021-10","Nova Scotia","Total, all occupations","Part-time","Job vacancies","6200"
"2021-10","New Brunswick","Total, all occupations","Full-time","Job vacancies","11070"
"2021-10","New Brunswick","Total, all occupations","Part-time","Job vacancies","3315"
"2021-10","Quebec","Total, all occupations","Full-time","Job vacancies","180895"
"2021-10","Quebec","Total, all occupations","Part-time","Job vacancies","57250"
"2021-10","Ontario","Total, all occupations","Full-time","Job vacancies","242115"
"2021-10","Ontario","Total, all occupations","Part-time","Job vacancies","106145"
"2021-10","Manitoba","Total, all occupations","Full-time","Job vacancies","17610"
"2021-10","Manitoba","Total, all occupations","Part-time","Job vacancies","8155"
"2021-10","Saskatchewan","Total, all occupations","Full-time","Job vacancies","13625"
"2021-10","Saskatchewan","Total, all occupations","Part-time","Job vacancies","6205"
"2021-10","Alberta","Total, all occupations","Full-time","Job vacancies","63145"
"2021-10","Alberta","Total, all occupations","Part-time","Job vacancies","22775"
"2021-10","British Columbia","Total, all occupations","Full-time","Job vacancies","109045"
"2021-10","British Columbia","Total, all occupations","Part-time","Job vacancies","39835"
"2021-10","Yukon","Total, all occupations","Full-time","Job vacancies","1050"
"2021-10","Yukon","Total, all occupations","Part-time","Job vacancies","270"
"2021-10","Northwest Territories","Total, all occupations","Full-time","Job vacancies","1295"
"2021-10","Northwest Territories","Total, all occupations","Part-time","Job vacancies","145"
"2021-10","Nunavut","Total, all occupations","Full-time","Job vacancies","395"
"2021-10","Nunavut","Total, all occupations","Part-time","Job vacancies","75"
"2022-01","Canada","Total, all occupations","Full-time","Job vacancies","679380"
"2022-01","Canada","Total, all occupations","Part-time","Job vacancies","211005"
"2022-01","Newfoundland and Labrador","Total, all occupations","Full-time","Job vacancies","4370"
"2022-01","Newfoundland and Labrador","Total, all occupations","Part-time","Job vacancies","2020"
"2022-01","Prince Edward Island","Total, all occupations","Full-time","Job vacancies","2185"
"2022-01","Prince Edward Island","Total, all occupations","Part-time","Job vacancies","840"
"2022-01","Nova Scotia","Total, all occupations","Full-time","Job vacancies","13345"
"2022-01","Nova Scotia","Total, all occupations","Part-time","Job vacancies","5030"
"2022-01","New Brunswick","Total, all occupations","Full-time","Job vacancies","10690"
"2022-01","New Brunswick","Total, all occupations","Part-time","Job vacancies","2910"
"2022-01","Quebec","Total, all occupations","Full-time","Job vacancies","177130"
"2022-01","Quebec","Total, all occupations","Part-time","Job vacancies","47245"
"2022-01","Ontario","Total, all occupations","Full-time","Job vacancies","249340"
"2022-01","Ontario","Total, all occupations","Part-time","Job vacancies","87415"
"2022-01","Manitoba","Total, all occupations","Full-time","Job vacancies","19520"
"2022-01","Manitoba","Total, all occupations","Part-time","Job vacancies","8000"
"2022-01","Saskatchewan","Total, all occupations","Full-time","Job vacancies","15200"
"2022-01","Saskatchewan","Total, all occupations","Part-time","Job vacancies","5045"
"2022-01","Alberta","Total, all occupations","Full-time","Job vacancies","69330"
"2022-01","Alberta","Total, all occupations","Part-time","Job vacancies","18835"
"2022-01","British Columbia","Total, all occupations","Full-time","Job vacancies","115915"
"2022-01","British Columbia","Total, all occupations","Part-time","Job vacancies","33275"
"2022-01","Yukon","Total, all occupations","Full-time","Job vacancies","990"
"2022-01","Yukon","Total, all occupations","Part-time","Job vacancies","175"
"2022-01","Northwest Territories","Total, all occupations","Full-time","Job vacancies","1035"
"2022-01","Northwest Territories","Total, all occupations","Part-time","Job vacancies","135"
"2022-01","Nunavut","Total, all occupations","Full-time","Job vacancies","340"
"2022-01","Nunavut","Total, all occupations","Part-time","Job vacancies","75"
"2022-04","Canada","Total, all occupations","Full-time","Job vacancies","783205"
"2022-04","Canada","Total, all occupations","Part-time","Job vacancies","248750"
"2022-04","Newfoundland and Labrador","Total, all occupations","Full-time","Job vacancies","6625"
"2022-04","Newfoundland and Labrador","Total, all occupations","Part-time","Job vacancies","2585"
"2022-04","Prince Edward Island","Total, all occupations","Full-time","Job vacancies","3460"
"2022-04","Prince Edward Island","Total, all occupations","Part-time","Job vacancies","1065"
"2022-04","Nova Scotia","Total, all occupations","Full-time","Job vacancies","17730"
"2022-04","Nova Scotia","Total, all occupations","Part-time","Job vacancies","5635"
"2022-04","New Brunswick","Total, all occupations","Full-time","Job vacancies","13080"
"2022-04","New Brunswick","Total, all occupations","Part-time","Job vacancies","4080"
"2022-04","Quebec","Total, all occupations","Full-time","Job vacancies","202755"
"2022-04","Quebec","Total, all occupations","Part-time","Job vacancies","51715"
"2022-04","Ontario","Total, all occupations","Full-time","Job vacancies","285065"
"2022-04","Ontario","Total, all occupations","Part-time","Job vacancies","102175"
"2022-04","Manitoba","Total, all occupations","Full-time","Job vacancies","21020"
"2022-04","Manitoba","Total, all occupations","Part-time","Job vacancies","8955"
"2022-04","Saskatchewan","Total, all occupations","Full-time","Job vacancies","18720"
"2022-04","Saskatchewan","Total, all occupations","Part-time","Job vacancies","6575"
"2022-04","Alberta","Total, all occupations","Full-time","Job vacancies","82785"
"2022-04","Alberta","Total, all occupations","Part-time","Job vacancies","24955"
"2022-04","British Columbia","Total, all occupations","Full-time","Job vacancies","128780"
"2022-04","British Columbia","Total, all occupations","Part-time","Job vacancies","40500"
"2022-04","Yukon","Total, all occupations","Full-time","Job vacancies","1470"
"2022-04","Yukon","Total, all occupations","Part-time","Job vacancies","260"
"2022-04","Northwest Territories","Total, all occupations","Full-time","Job vacancies","1240"
"2022-04","Northwest Territories","Total, all occupations","Part-time","Job vacancies","135"
"2022-04","Nunavut","Total, all occupations","Full-time","Job vacancies","470"
"2022-04","Nunavut","Total, all occupations","Part-time","Job vacancies","115"
"2022-07","Canada","Total, all occupations","Full-time","Job vacancies","738240"
"2022-07","Canada","Total, all occupations","Part-time","Job vacancies","253435"
"2022-07","Newfoundland and Labrador","Total, all occupations","Full-time","Job vacancies","5905"
"2022-07","Newfoundland and Labrador","Total, all occupations","Part-time","Job vacancies","2275"
"2022-07","Prince Edward Island","Total, all occupations","Full-time","Job vacancies","2925"
"2022-07","Prince Edward Island","Total, all occupations","Part-time","Job vacancies","1165"
"2022-07","Nova Scotia","Total, all occupations","Full-time","Job vacancies","16755"
"2022-07","Nova Scotia","Total, all occupations","Part-time","Job vacancies","6205"
"2022-07","New Brunswick","Total, all occupations","Full-time","Job vacancies","12390"
"2022-07","New Brunswick","Total, all occupations","Part-time","Job vacancies","4040"
"2022-07","Quebec","Total, all occupations","Full-time","Job vacancies","196625"
"2022-07","Quebec","Total, all occupations","Part-time","Job vacancies","49600"
"2022-07","Ontario","Total, all occupations","Full-time","Job vacancies","261795"
"2022-07","Ontario","Total, all occupations","Part-time","Job vacancies","110280"
"2022-07","Manitoba","Total, all occupations","Full-time","Job vacancies","22900"
"2022-07","Manitoba","Total, all occupations","Part-time","Job vacancies","9390"
"2022-07","Saskatchewan","Total, all occupations","Full-time","Job vacancies","18905"
"2022-07","Saskatchewan","Total, all occupations","Part-time","Job vacancies","6540"
"2022-07","Alberta","Total, all occupations","Full-time","Job vacancies","79655"
"2022-07","Alberta","Total, all occupations","Part-time","Job vacancies","23730"
"2022-07","British Columbia","Total, all occupations","Full-time","Job vacancies","117005"
"2022-07","British Columbia","Total, all occupations","Part-time","Job vacancies","39640"
"2022-07","Yukon","Total, all occupations","Full-time","Job vacancies","1445"
"2022-07","Yukon","Total, all occupations","Part-time","Job vacancies","275"
"2022-07","Northwest Territories","Total, all occupations","Full-time","Job vacancies","1565"
"2022-07","Northwest Territories","Total, all occupations","Part-time","Job vacancies","255"
"2022-07","Nunavut","Total, all occupations","Full-time","Job vacancies","370"
"2022-07","Nunavut","Total, all occupations","Part-time","Job vacancies",""
"2022-10","Canada","Total, all occupations","Full-time","Job vacancies","619980"
"2022-10","Canada","Total, all occupations","Part-time","Job vacancies","235915"
"2022-10","Newfoundland and Labrador","Total, all occupations","Full-time","Job vacancies","5140"
"2022-10","Newfoundland and Labrador","Total, all occupations","Part-time","Job vacancies","1750"
"2022-10","Prince Edward Island","Total, all occupations","Full-time","Job vacancies","2515"
"2022-10","Prince Edward Island","Total, all occupations","Part-time","Job vacancies","855"
"2022-10","Nova Scotia","Total, all occupations","Full-time","Job vacancies","15550"
"2022-10","Nova Scotia","Total, all occupations","Part-time","Job vacancies","6150"
"2022-10","New Brunswick","Total, all occupations","Full-time","Job vacancies","10080"
"2022-10","New Brunswick","Total, all occupations","Part-time","Job vacancies","3755"
"2022-10","Quebec","Total, all occupations","Full-time","Job vacancies","159785"
"2022-10","Quebec","Total, all occupations","Part-time","Job vacancies","49005"
"2022-10","Ontario","Total, all occupations","Full-time","Job vacancies","221710"
"2022-10","Ontario","Total, all occupations","Part-time","Job vacancies","101385"
"2022-10","Manitoba","Total, all occupations","Full-time","Job vacancies","17150"
"2022-10","Manitoba","Total, all occupations","Part-time","Job vacancies","8705"
"2022-10","Saskatchewan","Total, all occupations","Full-time","Job vacancies","17030"
"2022-10","Saskatchewan","Total, all occupations","Part-time","Job vacancies","6465"
"2022-10","Alberta","Total, all occupations","Full-time","Job vacancies","70905"
"2022-10","Alberta","Total, all occupations","Part-time","Job vacancies","22305"
"2022-10","British Columbia","Total, all occupations","Full-time","Job vacancies","97255"
"2022-10","British Columbia","Total, all occupations","Part-time","Job vacancies","35050"
"2022-10","Yukon","Total, all occupations","Full-time","Job vacancies","1045"
"2022-10","Yukon","Total, all occupations","Part-time","Job vacancies","245"
"2022-10","Northwest Territories","Total, all occupations","Full-time","Job vacancies","1325"
"2022-10","Northwest Territories","Total, all occupations","Part-time","Job vacancies","200"
"2022-10","Nunavut","Total, all occupations","Full-time","Job vacancies","490"
"2022-10","Nunavut","Total, all occupations","Part-time","Job vacancies","35"
"2023-01","Canada","Total, all occupations","Full-time","Job vacancies","590775"
"2023-01","Canada","Total, all occupations","Part-time","Job vacancies","190425"
"2023-01","Newfoundland and Labrador","Total, all occupations","Full-time","Job vacancies","4675"
"2023-01","Newfoundland and Labrador","Total, all occupations","Part-time","Job vacancies","1120"
"2023-01","Prince Edward Island","Total, all occupations","Full-time","Job vacancies","2200"
"2023-01","Prince Edward Island","Total, all occupations","Part-time","Job vacancies","810"
"2023-01","Nova Scotia","Total, all occupations","Full-time","Job vacancies","13900"
"2023-01","Nova Scotia","Total, all occupations","Part-time","Job vacancies","4860"
"2023-01","New Brunswick","Total, all occupations","Full-time","Job vacancies","9870"
"2023-01","New Brunswick","Total, all occupations","Part-time","Job vacancies","2690"
"2023-01","Quebec","Total, all occupations","Full-time","Job vacancies","155855"
"2023-01","Quebec","Total, all occupations","Part-time","Job vacancies","40655"
"2023-01","Ontario","Total, all occupations","Full-time","Job vacancies","202160"
"2023-01","Ontario","Total, all occupations","Part-time","Job vacancies","77565"
"2023-01","Manitoba","Total, all occupations","Full-time","Job vacancies","19855"
"2023-01","Manitoba","Total, all occupations","Part-time","Job vacancies","8280"
"2023-01","Saskatchewan","Total, all occupations","Full-time","Job vacancies","17760"
"2023-01","Saskatchewan","Total, all occupations","Part-time","Job vacancies","5445"
"2023-01","Alberta","Total, all occupations","Full-time","Job vacancies","68050"
"2023-01","Alberta","Total, all occupations","Part-time","Job vacancies","18605"
"2023-01","British Columbia","Total, all occupations","Full-time","Job vacancies","93730"
"2023-01","British Columbia","Total, all occupations","Part-time","Job vacancies","29870"
"2023-01","Yukon","Total, all occupations","Full-time","Job vacancies","945"
"2023-01","Yukon","Total, all occupations","Part-time","Job vacancies","245"
"2023-01","Northwest Territories","Total, all occupations","Full-time","Job vacancies","1215"
"2023-01","Northwest Territories","Total, all occupations","Part-time","Job vacancies","190"
"2023-01","Nunavut","Total, all occupations","Full-time","Job vacancies","560"
"2023-01","Nunavut","Total, all occupations","Part-time","Job vacancies",""
"2023-04","Canada","Total, all occupations","Full-time","Job vacancies","618800"
"2023-04","Canada","Total, all occupations","Part-time","Job vacancies","199395"
"2023-04","Newfoundland and Labrador","Total, all occupations","Full-time","Job vacancies","6090"
"2023-04","Newfoundland and Labrador","Total, all occupations","Part-time","Job vacancies","2560"
"2023-04","Prince Edward Island","Total, all occupations","Full-time","Job vacancies","3150"
"2023-04","Prince Edward Island","Total, all occupations","Part-time","Job vacancies","945"
"2023-04","Nova Scotia","Total, all occupations","Full-time","Job vacancies","15710"
"2023-04","Nova Scotia","Total, all occupations","Part-time","Job vacancies","4875"
"2023-04","New Brunswick","Total, all occupations","Full-time","Job vacancies","12075"
"2023-04","New Brunswick","Total, all occupations","Part-time","Job vacancies","2810"
"2023-04","Quebec","Total, all occupations","Full-time","Job vacancies","157485"
"2023-04","Quebec","Total, all occupations","Part-time","Job vacancies","44615"
"2023-04","Ontario","Total, all occupations","Full-time","Job vacancies","208335"
"2023-04","Ontario","Total, all occupations","Part-time","Job vacancies","75690"
"2023-04","Manitoba","Total, all occupations","Full-time","Job vacancies","20150"
"2023-04","Manitoba","Total, all occupations","Part-time","Job vacancies","7095"
"2023-04","Saskatchewan","Total, all occupations","Full-time","Job vacancies","20040"
"2023-04","Saskatchewan","Total, all occupations","Part-time","Job vacancies","6340"
"2023-04","Alberta","Total, all occupations","Full-time","Job vacancies","74915"
"2023-04","Alberta","Total, all occupations","Part-time","Job vacancies","19230"
"2023-04","British Columbia","Total, all occupations","Full-time","Job vacancies","97925"
"2023-04","British Columbia","Total, all occupations","Part-time","Job vacancies","34760"
"2023-04","Yukon","Total, all occupations","Full-time","Job vacancies","1150"
"2023-04","Yukon","Total, all occupations","Part-time","Job vacancies","180"
"2023-04","Northwest Territories","Total, all occupations","Full-time","Job vacancies","1190"
"2023-04","Northwest Territories","Total, all occupations","Part-time","Job vacancies","175"
"2023-04","Nunavut","Total, all occupations","Full-time","Job vacancies","585"
"2023-04","Nunavut","Total, all occupations","Part-time","Job vacancies","120"
